CustomerID,Channel,VisitDate,Conversion
1, Social Media,2022-03-22 1:00,0
1, Email,2022-09-21 1:00,1
1, Search,2022-03-08 0:00,0
1, TV,2022-12-30 0:00,0
1, Direct Mail,2022-08-26 1:00,0
2, Social Media,2022-09-27 1:00,1
2, Email,2022-05-14 1:00,0
2, Search,2022-05-17 1:00,0
2, TV,2022-06-10 1:00,0
2, Direct Mail,2022-04-26 1:00,0
3, Social Media,2022-02-15 0:00,1
3, Email,2022-03-05 0:00,0
3, Search,2022-01-19 0:00,0
3, TV,2022-08-17 1:00,0
3, Direct Mail,2022-04-08 1:00,0
4, Social Media,2022-05-09 1:00,0
4, Email,2022-08-08 1:00,0
4, Search,2022-06-29 1:00,1
4, TV,2022-08-10 1:00,0
4, Direct Mail,2022-11-20 0:00,0
5, Social Media,2022-03-31 1:00,0
5, Email,2022-05-02 1:00,1
5, Search,2022-11-27 0:00,0
5, TV,2022-10-02 1:00,0
5, Direct Mail,2022-10-18 1:00,0
6, Social Media,2022-08-19 1:00,0
6, Email,2022-07-16 1:00,1
6, Search,2022-11-13 0:00,0
6, TV,2022-06-18 1:00,0
6, Direct Mail,2022-08-05 1:00,0
7, Social Media,2022-02-18 0:00,0
7, Email,2022-12-07 0:00,0
7, Search,2022-03-10 0:00,1
7, TV,2022-11-16 0:00,0
7, Direct Mail,2022-03-17 1:00,0
8, Social Media,2022-01-02 0:00,0
8, Email,2022-10-01 1:00,0
8, Search,2022-09-17 1:00,0
8, TV,2022-04-16 1:00,0
8, Direct Mail,2022-04-21 1:00,1
9, Social Media,2022-12-09 0:00,0
9, Email,2022-03-13 0:00,0
9, Search,2022-08-17 1:00,0
9, TV,2022-01-11 0:00,0
9, Direct Mail,2022-07-26 1:00,1
10, Social Media,2022-12-01 0:00,0
10, Email,2022-02-25 0:00,0
10, Search,2022-04-16 1:00,0
10, TV,2022-09-28 1:00,0
10, Direct Mail,2022-07-26 1:00,1
11, Social Media,2022-12-30 0:00,0
11, Email,2022-03-30 1:00,0
11, Search,2022-10-19 1:00,0
11, TV,2022-09-20 1:00,1
11, Direct Mail,2022-03-09 0:00,0
12, Social Media,2022-04-30 1:00,1
12, Email,2022-08-20 1:00,0
12, Search,2022-02-22 0:00,0
12, TV,2022-12-23 0:00,0
12, Direct Mail,2022-10-07 1:00,0
13, Social Media,2022-08-18 1:00,0
13, Email,2022-11-20 0:00,1
13, Search,2022-11-19 0:00,0
13, TV,2022-01-11 0:00,0
13, Direct Mail,2022-03-15 1:00,0
14, Social Media,2022-09-13 1:00,0
14, Email,2022-12-15 0:00,0
14, Search,2022-03-29 1:00,0
14, TV,2022-12-11 0:00,1
14, Direct Mail,2022-01-11 0:00,0
15, Social Media,2022-03-15 1:00,0
15, Email,2022-08-31 1:00,0
15, Search,2022-07-07 1:00,0
15, TV,2022-10-14 1:00,0
15, Direct Mail,2022-11-26 0:00,1
16, Social Media,2022-06-22 1:00,0
16, Email,2022-11-11 0:00,1
16, Search,2022-10-07 1:00,0
16, TV,2022-10-18 1:00,0
16, Direct Mail,2022-08-30 1:00,0
17, Social Media,2022-09-23 1:00,0
17, Email,2022-03-05 0:00,0
17, Search,2022-11-24 0:00,0
17, TV,2022-06-21 1:00,1
17, Direct Mail,2022-10-25 1:00,0
18, Social Media,2022-06-09 1:00,1
18, Email,2022-06-16 1:00,0
18, Search,2022-06-15 1:00,0
18, TV,2022-01-17 0:00,0
18, Direct Mail,2022-08-17 1:00,0
19, Social Media,2022-12-31 0:00,0
19, Email,2022-03-20 1:00,0
19, Search,2022-08-15 1:00,0
19, TV,2022-11-18 0:00,0
19, Direct Mail,2022-11-22 0:00,1
20, Social Media,2022-04-20 1:00,0
20, Email,2022-11-11 0:00,0
20, Search,2022-08-31 1:00,0
20, TV,2022-09-22 1:00,1
20, Direct Mail,2022-01-23 0:00,0
21, Social Media,2022-10-08 1:00,0
21, Email,2022-04-22 1:00,0
21, Search,2022-04-03 1:00,0
21, TV,2022-10-04 1:00,0
21, Direct Mail,2022-04-29 1:00,1
22, Social Media,2022-02-17 0:00,0
22, Email,2022-09-05 1:00,1
22, Search,2022-04-15 1:00,0
22, TV,2022-06-20 1:00,0
22, Direct Mail,2022-07-03 1:00,0
23, Social Media,2022-01-04 0:00,0
23, Email,2022-11-23 0:00,0
23, Search,2022-11-08 0:00,0
23, TV,2022-02-19 0:00,0
23, Direct Mail,2022-05-19 1:00,1
